Test Case ID,Module / Feature,Test Case Title,Requirement / User Story ID,Test Type,Priority,Severity,Preconditions,Test Data,Test Steps,Expected Result,Actual Result,Status,Environment,Executed By,Execution Date,Defect ID,Remarks / Comments
TC-047-I0W21,Logout,ออกจากระบบสำเร็จจาก Navbar,"REQ-LOGOUT-01 / I0-W2-1 Logout User",Functional,High,Major,"ล็อกอินแล้ว อยู่หน้า Home (/home)","ผู้ใช้: test_user01 / Password_1234","1. ล็อกอินด้วย test_user01 2. คลิกไอคอนโปรไฟล์ที่ Navbar 3. กดปุ่มออกจากระบบ 4. สังเกตหน้าที่เปลี่ยนไป","กลับไปหน้า /login และเมนูเปลี่ยนเป็นปุ่มเข้าสู่ระบบแทนรูปโปรไฟล์",,,,,,,
TC-048-I0W21,Logout,หลัง logout เข้าหน้าเฉพาะสมาชิกไม่ได้,"REQ-LOGOUT-02 / I0-W2-1 Logout User",Security,High,Major,"เพิ่งกดออกจากระบบ (ทำ TC-047 จบ)",-,"1. หลัง logout พิมพ์ URL /favorites ในแถบ address แล้วกด Enter 2. สังเกตหน้าที่แสดง","ถูกพาไปหน้า /login พร้อมข้อความให้เข้าสู่ระบบก่อน",,,,,,,
TC-049-I0W27,Search & Filtering,ค้นหาสูตรด้วยชื่อตรงทุกคำเจอผลลัพธ์,"REQ-SEARCH-01 / I0-W2-7 Bind Search + I0-W3-1 Connect AI Search",Functional,High,Major,"อยู่หน้า /search มีสูตรไก่ทอดในระบบ","คำค้น: ไก่ทอด","1. เปิดหน้า /search 2. พิมพ์คำว่า ไก่ทอด ในช่องค้นหา 3. รอผล 4. ดูรายการผลลัพธ์","แสดงการ์ดสูตรไก่ทอดขึ้นเป็นรายการแรก กดแล้วเปิดหน้ารายละเอียดได้",,,,,,,
TC-050-I0W27,Search & Filtering,ค้นหาด้วยบางคำยังเจอผลลัพธ์ที่เกี่ยวข้อง,"REQ-SEARCH-02 / I0-W2-7 Bind Search",Functional,Medium,Minor,"อยู่หน้า /search มีสูตรที่มีคำว่าไก่หลายสูตร","คำค้น: ไก่","1. เปิดหน้า /search 2. พิมพ์คำว่า ไก่ 3. ดูรายการผลลัพธ์","แสดงสูตรที่มีคำว่าไก่ทั้งหมด เช่น ไก่ทอด ต้มข่าไก่",,,,,,,
TC-051-I0W33,Search & Filtering,ค้นหาชื่อที่ไม่มีในระบบแสดงข้อความไม่พบ,"REQ-SEARCH-03 / I0-W3-3 Handle Empty Search",Functional,Medium,Minor,"อยู่หน้า /search","คำค้น: พิซซ่ามะม่วงลาวา (ไม่มีจริง)","1. เปิดหน้า /search 2. พิมพ์คำค้นตัวอย่าง 3. ดูพื้นที่ผลลัพธ์","แสดงข้อความว่าไม่พบสูตรอาหารที่ตรงกับคำค้น",,,,,,,
TC-052-I0W33,Search & Filtering,กดค้นหาโดยไม่พิมพ์อะไรเลย,"REQ-SEARCH-04 / I0-W3-3 Handle Empty Search",Functional,Low,Trivial,"อยู่หน้า /search ช่องค้นหาว่าง","ช่องค้นหาว่าง ไม่พิมพ์อะไร","1. เปิดหน้า /search 2. ปล่อยช่องค้นหาว่าง 3. กดปุ่มค้นหา","แสดงข้อความแนะนำให้พิมพ์คำค้นหรือเลือกวัตถุดิบก่อน ไม่ค้างหน้าโหลด",,,,,,,
TC-053-I2W29,Search History,ประวัติการค้นหาถูกบันทึกและแสดงล่าสุด,"REQ-HIST-01 / I2-W2-9 Save Search History",Functional,Medium,Minor,"ล็อกอินแล้ว อยู่หน้า /search","คำค้น: ต้มยำกุ้ง","1. ล็อกอิน 2. เปิด /search 3. พิมพ์คำค้นตัวอย่างแล้วกดค้นหา 4. ดูแถบประวัติการค้นหาล่าสุด","คำว่า ต้มยำกุ้ง ปรากฏในรายการประวัติล่าสุดด้านบน",,,,,,,
TC-054-I2W210,Search History,ลบประวัติการค้นหาหนึ่งรายการ,"REQ-HIST-02 / I2-W2-10 Get & Delete Search History",Functional,Medium,Minor,"ล็อกอินแล้ว มีประวัติคำว่า ต้มยำกุ้ง จาก TC-053","รายการ: ต้มยำกุ้ง","1. ล็อกอิน 2. เปิด /search 3. หารายการ ต้มยำกุ้ง ในประวัติ 4. กดปุ่มลบ (ถังขยะ/กากบาท) ข้างรายการ","รายการนั้นหายไปจากประวัติทันที รีเฟรชแล้วยังไม่กลับมา",,,,,,,
TC-055-I1W12,Recipe Detail,เปิดดูรายละเอียดสูตรจาก Feed ได้ครบส่วน,"REQ-RECIPE-01 / I1-W1-2 Get Recipe",Functional,High,Major,"มีสูตรไก่ทอด public อยู่ใน /post","สูตร: ไก่ทอด","1. เปิด /post 2. คลิกการ์ดไก่ทอด 3. ดูหน้ารายละเอียด /recipe/[id]","เห็นรูป ชื่อ คำอธิบาย วัตถุดิบ ขั้นตอน คะแนนดาว และรีวิวครบ",,,,,,,
TC-056-I1W12,Recipe Detail,เปิดสูตรด้วย id ที่ไม่มีอยู่แสดงหน้าไม่พบ,"REQ-RECIPE-02 / I1-W1-2 Get Recipe",Functional,Medium,Minor,"ล็อกอินหรือไม่ก็ได้ อยู่หน้า /post","URL ตัวอย่าง: /recipe/00000000-0000-0000-0000-000000000000","1. พิมพ์ URL ตัวอย่างในแถบ address แล้วกด Enter","แสดงข้อความหรือหน้าว่าไม่พบสูตรอาหาร ไม่ใช่หน้าขาวค้าง",,,,,,,
TC-057-I1W23,My Recipes,ดูสูตรของฉันเห็นเฉพาะของตัวเองพร้อมแท็บสถานะ,"REQ-MYRECIPE-01 / I1-W2-3 Fetch user's recipes",Functional,High,Major,"ล็อกอินเป็น test_user01 มีสูตรของตัวเองอย่างน้อย 1 สูตร","ผู้ใช้: test_user01 แท็บ: All / Publish / Draft / StoreSet","1. ล็อกอิน 2. เปิด /my-recipe 3. สลับดูแท็บ All / Publish / Draft","เห็นเฉพาะสูตรของ test_user01 แยกตามแท็บถูกต้อง ไม่เห็นของคนอื่น",,,,,,,
TC-058-I2W12,Feed,สลับแท็บ ทั้งหมด/ของผู้ใช้/AI ในหน้าโพสต์,"REQ-FEED-01 / I2-W1-2 Fetch dynamic feed & Pagination",Functional,Medium,Minor,"อยู่หน้า /post มีทั้งสูตรคนและสูตร AI","แท็บ: ทั้งหมด / ผู้ใช้ / AI","1. เปิด /post 2. กดแท็บ ผู้ใช้ 3. กดแท็บ AI 4. กดเลขหน้า 2 ถ้ามี","แต่ละแท็บกรองการ์ดถูกต้อง กดเปลี่ยนหน้าแล้วรายการเปลี่ยนตาม",,,,,,,
TC-059-I1W15,Edit Recipe,แก้ไขชื่อและคำอธิบายสูตรของตัวเองสำเร็จ,"REQ-EDIT-01 / I1-W1-5 Update Recipe",Functional,High,Major,"ล็อกอินเป็นเจ้าของสูตร อยู่หน้า /my-recipe","ชื่อใหม่: ไก่ทอดสูตรคุณยาย (ตัวอย่าง) คำอธิบายใหม่: กรอบนอกนุ่มใน","1. ล็อกอิน 2. เปิด /my-recipe 3. กดปุ่มแก้ไขที่สูตรของตัวเอง 4. แก้ชื่อและคำอธิบายตัวอย่าง 5. กดบันทึก","กลับมาหน้าดูสูตรเห็นชื่อใหม่ทันที เปิดใหม่ยังเป็นชื่อใหม่",,,,,,,
TC-060-I1W21,Edit Recipe,แก้ไขโดยปล่อยชื่อว่างถูกบล็อก,"REQ-EDIT-02 / I1-W2-1 Validate Recipe Data",Functional,Medium,Minor,"ล็อกอินเป็นเจ้าของสูตร อยู่หน้าแก้ไข /my-recipe/edit/[id]","ชื่อสูตร: ลบออกให้ว่าง","1. เปิดหน้าแก้ไขสูตรของตัวเอง 2. ลบชื่อสูตรออกให้ว่าง 3. กดบันทึก","บันทึกไม่สำเร็จ แสดงข้อความสีแดงว่า กรุณาระบุชื่อสูตรอาหาร",,,,,,,
